Occupation title,Employment,Percent of total employment,Median hourly wage,Mean hourly wage,Annual mean wage
Radio and Television Announcer,140,0.0001,12.04,18.5,38470
Fabric and Apparel Patternmake,130,0.0001,29.77,30.75,63960
Cardiovascular Technologists a,130,0.0001,26.1,28.4,59060
Riggers,130,0.0001,26.87,27.59,57390
Metal Workers and Plastic Work,130,0.0001,14.52,17.69,36790
"Court, Municipal, and License ",130,0.0001,18.1,18.34,38150
Dining Room and Cafeteria Atte,120,0.0001,9.24,10.63,22110
"Cooks, Restaurant",120,0.0001,12.06,12.46,25920
Reservation and Transportation,120,0.0001,11.36,13.77,28650
Recreation Workers,120,0.0001,11.39,13.16,27370
Forest and Conservation Worker,110,0.0001,12.31,13.18,27400
Upholsterers,110,0.0001,14.77,15.01,31220
Rehabilitation Counselors,110,0.0001,17.32,18.83,39180
Museum Technicians and Conserv,110,0.0001,10.97,13.01,27070
Cutting and Slicing Machine Se,110,0.0001,19.77,21.89,45520
Family and General Practitione,110,0.0001,-5,95.91,199500
"Food Servers, Nonrestaurant",100,0.0001,10.79,11.19,23280
"Molders, Shapers, and Casters,",100,0.0001,18.2,18.52,38510
Computer Numerically Controlle,100,0.0001,22.08,22.39,46560
Drilling and Boring Machine To,100,0.0001,18.9,20.32,42250
New Accounts Clerks,100,0.0001,17.86,19.5,40570
Cabinetmakers and Bench Carpen,100,0.0001,17,16.83,35000
"Hairdressers, Hairstylists, an",100,0.0001,17.24,17.95,37330
"Internists, General",100,0.0001,49.11,62.82,130660
Electrical and Electronics Rep,90,0.0001,29.01,28.06,58360
"Textile, Apparel, and Furnishi",90,0.0001,14.47,14.4,29950
Foresters,90,0.0001,22.11,25.07,52150
Fitness Trainers and Aerobics ,90,0.0001,19.35,18.22,37900
"Entertainers and Performers, S",80,0.0001,15.05,17.23,34460
Locksmiths and Safe Repairers,70,0.0001,25.55,25.64,53330
Parking Lot Attendants,70,0.0001,9.9,11.38,23660
Occupational Therapists,70,0.0001,40.22,42.3,87980
Fiberglass Laminators and Fabr,70,0.0001,11.35,12.38,25740
Boilermakers,70,0.0001,23.35,22.27,46320
Carpet Installers,70,0.0001,18.22,19.27,40080
Cement Masons and Concrete Fin,70,0.0001,18.29,20.04,41680
Tile and Marble Setters,70,0.0001,15.37,17.72,36850
Psychiatrists,70,0.0001,36.74,71.32,148350
Dishwashers,60,0.0001,8.83,9.14,19010
Chefs and Head Cooks,60,0.0001,25.53,27.86,57960
Curators,60,0.0001,32.51,31.12,64730
Models,60,0.0001,22.89,23.78,49460
Communications Equipment Opera,60,0.0001,18.9,19.34,40220
"Building Cleaning Workers, All",60,0.0001,11.18,12.31,25600
Conveyor Operators and Tenders,60,0.0001,14.76,15.17,31560
"Electric Motor, Power Tool, an",60,0.0001,29.21,26.09,54260
Commercial Divers,60,0.0001,22.17,24.57,51110
"Captains, Mates, and Pilots of",60,0.0001,34.02,40.45,84130
"Makeup Artists, Theatrical and",60,0.0001,22.46,23.06,47970
Nuclear Medicine Technologists,50,0.0001,32.35,32.47,67540
Textile Cutting Machine Setter,50,0.0001,12.92,12.78,26580
"Helpers--Painters, Paperhanger",50,0.0001,18.06,20.07,41740
"Hosts and Hostesses, Restauran",50,0.0001,12.16,12.53,26060
"Grounds Maintenance Workers, A",50,0.0001,14.42,17.07,35500
"Model Makers, Wood",50,0.0001,26.94,27.15,56470
Concierges,50,0.0001,12.9,14.9,30990
"Farmers, Ranchers, and Other A",50,0.0001,37.32,42.51,88420
Respiratory Therapists,40,0.0001,25.36,24.74,51450
"Cleaning, Washing, and Metal P",40,0.0001,10.46,15.17,31560
Hoist and Winch Operators,40,0.0001,17.82,19.54,40640
"Helpers--Pipelayers, Plumbers,",40,0.0001,16.28,15.93,33120
Grinding and Polishing Workers,40,0.0001,16.94,16.75,34850
"Postsecondary Teachers, All Ot",40,0.0001,-4,-4,114380
Pipelayers,40,0.0001,13.24,14.07,29260
Adhesive Bonding Machine Opera,40,0.0001,9.97,10.37,21560
"Cutters and Trimmers, Hand",40,0.0001,11.83,12.39,25770
Reporters and Correspondents,40,0.0001,21.49,27.38,56950
Athletes and Sports Competitor,40,0.0001,-4,-4,55980
"Rotary Drill Operators, Oil an",40,0.0001,20.82,24.53,51020
Broadcast News Analysts,40,0.0001,33.28,41.72,86780
Laundry and Dry-Cleaning Worke,40,0.0001,10.03,12.9,26840
"Woodworking Machine Setters, O",30,0.0001,20.58,20.46,42570
Radiation Therapists,30,0.0001,39.41,38.46,79990
Tour Guides and Escorts,30,0.0001,12.2,12.34,25670
Marriage and Family Therapists,30,0.0001,22.81,22.17,46120
Roofers,30,0.0001,23.22,23.06,47960
"Grinding, Lapping, Polishing, ",30,0.0001,12.9,15.57,32390
Financial Examiners,0,0.0001,34.9,39.08,81300
Automotive and Watercraft Serv,0,0.0001,11.34,12.32,25620
Costume Attendants,0,0.0001,26.69,26.15,54380
Physical Therapist Assistants,0,0.0001,36.93,33.37,69410
Camera and Photographic Equipm,0,0.0001,18.13,19.1,39730
Food Preparation and Serving R,0,0.0001,16.93,17.29,35960
"Credit Authorizers, Checkers, ",0,0.0001,14.25,15.59,32430
Electronic Home Entertainment ,0,0.0001,16.8,16.65,34630
Brokerage Clerks,0,0.0001,26.6,26.91,55970
Combined Food Preparation and ,0,0.0001,9.13,10.04,20880
Diagnostic Medical Sonographer,0,0.0001,21.1,23.06,47960
Musicians and Singers,0,0.0001,19,19.49,39000
Pest Control Workers,0,0.0001,20.67,20.67,43000
"Sawing Machine Setters, Operat",0,0.0001,14.12,15.98,33240
"Bus Drivers, School or Special",0,0.0001,15.65,15.41,32060
"Woodworkers, All Other",0,0.0001,25.73,25.34,52710
"Counter Attendants, Cafeteria,",0,0.0001,8.6,8.91,18540
Air Traffic Controllers,0,0.0001,29.95,36.88,76700
Plating and Coating Machine Se,0,0.0001,14.43,15.09,31380
"Agricultural Workers, All Othe",0,0.0001,13.5,14.41,29970
Elevator Installers and Repair,0,0.0001,11.38,12.44,25880
Semiconductor Processors,0,0.0001,21.12,21.88,45520
Animal Control Workers,0,0.0001,20.06,19.6,40770
Reinforcing Iron and Rebar Wor,0,0.0001,24.59,22.15,46080
"Paving, Surfacing, and Tamping",0,0.0001,27.57,27.57,57340
Surgical Technologists,0,0.0001,17.74,18.16,37770
Animal Breeders,0,0.0001,8.97,12.89,26810
Fire Inspectors and Investigat,0,0.0001,34.24,31.72,65980
Electrical and Electronics Ins,0,0.0001,33.54,30.28,62990
"Police, Fire, and Ambulance Di",0,0.0001,12.48,18.54,38560
